Tweet,Match,word polarity
280,excel,positive
280,free,positive
280,free,positive
281,rapport,positive
283,heal,positive
285,like,positive
285,free,positive
287,breaking,negative
287,tentative,negative
288,strike,negative
288,interruptions,negative
289,vice,negative
292,providence,positive
293,like,positive
293,congratulations,positive
294,thrilled,positive
294,welcome,positive
295,thrilled,positive
295,welcome,positive
296,warm,positive
296,romantic,positive
296,funny,negative
298,fall,negative
299,top,positive
301,important,positive
304,worthy,positive
305,correct,positive
308,welcome,positive
309,refund,positive
309,inappropriate,negative
310,congratulations,positive
310,commitment,positive
311,wisdom,positive
311,faith,positive
313,limited,negative
316,fantastic,positive
316,excellent,positive
318,like,positive
320,stable,positive
321,honest,positive
322,enough,positive
324,masters,positive
324,reasonable,positive
325,breaking,negative
328,vice,negative
329,enough,positive
332,better,positive
334,trust,positive
335,isolation,negative
337,bored,negative
338,maturity,positive
339,important,positive
341,bored,negative
343,thank,positive
345,happy,positive
345,nice,positive
347,virus,negative
347,deadly,negative
347,outbreak,negative
354,properly,positive
354,properly,positive
355,celebrate,positive
355,great,positive
356,recommend,positive
357,work,positive
357,providence,positive
359,commitment,positive
360,good,positive
360,corruption,negative
365,holy,positive
366,welcome,positive
370,welcome,positive
374,incredulous,negative
375,important,positive
376,flexible,positive
376,support,positive
378,important,positive
379,improve,positive
387,disgusting,negative
390,supports,positive
393,outbreak,negative
394,good,positive
394,corruption,negative
396,supports,positive
398,top,positive
399,rape,negative
400,enough,positive
400,funny,negative
400,hard,negative
401,right,positive
404,top,positive
406,welcome,positive
407,top,positive
408,die,negative
408,stress,negative
414,issues,negative
416,love,positive
416,sad,negative
418,like,positive
419,awesome,positive
421,steady,positive
423,amazing,positive
423,support,positive
424,free,positive
424,free,positive
424,restricted,negative
425,successful,positive
426,love,positive
426,amazing,positive
426,proud,positive
428,strong,positive
428,successful,positive
428,free,positive
429,restriction,negative
431,providence,positive
432,prestigious,positive
435,sorry,negative
435,bad,negative
437,effective,positive
438,proper,positive
438,lack,negative
441,great,positive
441,wrong,negative
443,fall,negative
444,best,positive
445,intelligence,positive
446,crisis,negative
447,confused,negative
448,joy,positive
452,good,positive
452,lack,negative
455,free,positive
455,successful,positive
460,fun,positive
460,missed,negative
461,important,positive
464,well,positive
464,expensive,negative
466,outbreak,negative
466,complex,negative
469,sustainability,positive
469,benefit,positive
469,free,positive
471,important,positive
472,celebrate,positive
473,important,positive
474,sorry,negative
474,selfish,negative
476,important,positive
476,free,positive
476,free,positive
476,free,positive
477,led,positive
478,free,positive
479,privilege,positive
479,right,positive
481,outbreak,negative
481,complex,negative
482,work,positive
486,shine,positive
487,stuck,negative
488,useful,positive
490,beauty,positive
491,sadly,negative
493,prestigious,positive
493,profanity,negative
496,unstable,negative
496,mock,negative
496,fuck,negative
497,smoke,negative
498,benefit,positive
499,important,positive
500,successful,positive
502,trump,positive
502,fake,negative
503,happy,positive
504,celebrate,positive
504,accomplishments,positive
506,perfect,positive
506,stuck,negative
507,insightful,positive
508,outbreak,negative
509,work,positive
510,thank,positive
510,free,positive
512,refund,positive
513,controversial,negative
514,vice,negative
515,well,positive
515,proves,positive
516,good,positive
518,illegal,negative
518,attack,negative
519,vice,negative
520,providence,positive
520,talent,positive
521,great,positive
521,debt,negative
524,masters,positive
524,work,positive
525,like,positive
528,interesting,positive
528,top,positive
532,innovative,positive
533,important,positive
535,right,positive
535,great,positive
535,concern,negative
536,correct,positive
536,bs,negative
536,difficult,negative
537,proper,positive
538,thankful,positive
539,available,positive
540,support,positive
540,support,positive
541,fun,positive
541,missed,negative
544,good,positive
545,important,positive
545,important,positive
548,ready,positive
549,lone,negative
550,subsidized,positive
551,enough,positive
556,struggling,negative
556,worried,negative
558,passion,positive
560,empathy,positive
560,intelligence,positive
563,work,positive
563,works,positive
564,virus,negative
565,envy,positive
565,hypocrisy,negative
567,great,positive
569,work,positive
569,peace,positive
572,unaffordable,negative
574,great,positive
580,problem,negative
582,fist,negative
583,elite,positive
586,perfect,positive
586,homage,positive
588,trump,positive
588,fake,negative
589,happy,positive
590,thank,positive
590,great,positive
590,proud,positive
593,victory,positive
594,din,negative
596,improve,positive
598,good,positive
599,perfect,positive
601,like,positive
601,good,positive
601,succeed,positive
602,realistic,positive
602,losing,negative
604,inspire,positive
604,urgent,negative
605,right,positive
606,free,positive
606,well,positive
606,happier,positive
609,stupid,negative
610,hard,negative
611,well,positive
612,great,positive
612,threat,negative
614,masters,positive
614,master,positive
616,wrong,negative
617,love,positive
618,lacked,negative
619,well,positive
620,important,positive
621,impartial,positive
622,mediocre,negative
622,lacks,negative
623,benefits,positive
623,risks,negative
624,gained,positive
626,shortage,negative
628,critical,negative
630,top,positive
630,unable,negative
630,refused,negative
635,work,positive
636,great,positive
637,supporting,positive
638,right,positive
639,issue,negative
640,disadvantage,negative
642,great,positive
643,reasonably,positive
645,improving,positive
646,freedom,positive
647,innovation,positive
647,simplify,positive
647,improve,positive
651,worried,negative
652,kindly,positive
654,break,negative
655,won,positive
656,important,positive
658,debt,negative
661,excellent,positive
662,advanced,positive
666,free,positive
667,steal,negative
667,steal,negative
668,free,positive
669,excellent,positive
670,important,positive
672,masters,positive
676,merit,positive
676,benefits,positive
678,prefer,positive
679,good,positive
679,fast,positive
683,strike,negative
684,welcome,positive
686,top,positive
687,available,positive
688,appreciate,positive
688,support,positive
689,crisis,negative
690,challenging,negative
692,best,positive
693,useful,positive
695,grateful,positive
698,debt,negative
700,good,positive
700,good,positive
700,good,positive
700,peace,positive
700,love,positive
700,happiness,positive
702,ridiculous,negative
703,excellence,positive
703,award,positive
704,realistic,positive
704,losing,negative
706,excited,positive
706,support,positive
706,work,positive
709,breaking,negative
709,tentative,negative
710,won,positive
710,award,positive
714,bitch,negative
715,awarded,positive
718,support,positive
718,dedicated,positive
719,free,positive
720,insensitive,negative
720,excuse,negative
722,refund,positive
728,available,positive
728,confused,negative
729,illustrious,positive
729,top,positive
730,free,positive
734,trust,positive
737,logical,positive
737,free,positive
737,revolt,negative
743,saint,positive
743,welcome,positive
744,congratulations,positive
747,modern,positive
748,great,positive
748,virus,negative
748,outbreak,negative
749,failing,negative
751,best,positive
751,well,positive
754,vice,negative
755,right,positive
755,great,positive
755,concern,negative
757,cool,positive
760,clearly,positive
760,winning,positive
760,propaganda,negative
762,trump,positive
763,ripped,negative
765,die,negative
766,scandal,negative
768,support,positive
771,qualified,positive
772,waste,negative
772,confuse,negative
773,great,positive
773,innovative,positive
773,hard,negative
775,boom,positive
775,scary,negative
779,wrong,negative
781,available,positive
783,breaking,negative
784,good,positive
784,unacceptable,negative
784,crisis,negative
785,fair,positive
791,advocate,positive
792,supporting,positive
793,safe,positive
794,happy,positive
795,loss,negative
797,break,negative
799,begging,negative
802,pity,negative
804,breaking,negative
807,blame,negative
807,penalty,negative
809,like,positive
809,challenging,negative
811,like,positive
811,success,positive
814,impossible,negative
815,proud,positive
815,excited,positive
816,trump,positive
816,break,negative
818,trash,negative
820,premier,positive
821,top,positive
821,unable,negative
821,refused,negative
822,negative,negative
823,safe,positive
824,limit,negative
827,better,positive
829,like,positive
829,incorrigible,negative
831,reform,positive
832,debt,negative
833,support,positive
834,break,negative
835,amazed,positive
836,cloud,negative
838,enough,positive
839,hell,negative
840,well,positive
840,complaining,negative
840,damn,negative
841,oppose,negative
843,lead,positive
844,masters,positive
844,reasonable,positive
845,super,positive
845,excited,positive
845,commitment,positive
847,excited,positive
849,excited,positive
850,happy,positive
851,worth,positive
851,poor,negative
852,good,positive
852,patient,positive
852,strong,positive
853,refund,positive
862,tenacity,positive
862,great,positive
862,overwhelmed,negative
862,lack,negative
865,excited,positive
867,support,positive
868,top,positive
869,award,positive
869,excellence,positive
870,master,positive
871,helping,positive
871,safe,positive
871,terrible,negative
876,like,positive
876,best,positive
877,thank,positive
877,thank,positive
877,helped,positive
877,memorable,positive
878,masters,positive
881,greatest,positive
882,refund,positive
883,greatest,positive
884,important,positive
885,thank,positive
886,idiot,negative
887,support,positive
888,effective,positive
889,passion,positive
889,inspiration,positive
889,success,positive
892,thank,positive
893,commitment,positive
893,thank,positive
896,trust,positive
897,grand,positive
902,positive,positive
903,free,positive
903,happier,positive
903,wellbeing,positive
905,incredulous,negative
906,thrilled,positive
908,great,positive
909,glad,positive
909,shit,negative
912,skilled,positive
912,skill,positive
913,worst,negative
913,disaster,negative
915,celebrate,positive
917,enjoys,positive
917,modern,positive
918,important,positive
919,work,positive
919,brilliant,positive
921,wonder,positive
921,obsessively,negative
921,attack,negative
922,questionable,negative
926,vice,negative
927,flexible,positive
931,concerns,negative
932,positive,positive
932,patient,positive
933,lie,negative
934,free,positive
936,insightful,positive
937,hoax,negative
938,like,positive
938,trump,positive
939,work,positive
939,free,positive
939,useful,positive
940,fast,positive
940,bright,positive
940,success,positive
940,inspiration,positive
941,clearly,positive
942,grotesque,negative
943,thank,positive
945,winning,positive
945,educated,positive
946,fast,positive
946,bright,positive
946,success,positive
946,inspiration,positive
947,correct,positive
947,vice,negative
948,like,positive
950,properly,positive
950,miss,negative
953,like,positive
953,pain,negative
954,stupid,negative
955,refunded,positive
955,worth,positive
957,expensive,negative
957,expensive,negative
958,great,positive
959,reform,positive
959,radical,negative
960,well,positive
960,like,positive
960,assure,positive
961,stuck,negative
964,sane,positive
965,easy,positive
965,effective,positive
966,refund,positive
968,disappointing,negative
969,awesome,positive
970,right,positive
970,denied,negative
971,excited,positive
972,better,positive
972,deaf,negative
978,disappointing,negative
980,refund,positive
982,important,positive
983,love,positive
987,best,positive
989,premier,positive
989,thoughtful,positive
991,friendly,positive
993,masters,positive
995,top,positive
997,wonderful,positive
998,illuminati,positive
998,support,positive
999,free,positive
1000,grand,positive
1000,missed,negative
1001,exquisite,positive
1002,proud,positive
1004,top,positive
1005,love,positive
1005,fun,positive
1006,pleased,positive
1006,welcome,positive
1009,love,positive
1009,fun,positive
1011,emergency,negative
1014,smart,positive
1018,proud,positive
1018,happy,positive
1020,excited,positive
1023,proud,positive
1026,awesome,positive
1026,excellent,positive
1028,failed,negative
1028,complaints,negative
1028,complaints,negative
1031,noise,negative
1031,concern,negative
1034,devil,negative
1035,rusty,negative
1036,positive,positive
1038,fair,positive
1040,delighted,positive
1043,refund,positive
1043,inappropriate,negative
1045,appreciate,positive
1045,concern,negative
1046,devil,negative
1046,denied,negative
1047,free,positive
1048,right,positive
1050,exquisite,positive
1051,cheapest,positive
1052,free,positive
1053,breaking,negative
1055,awarded,positive
1056,rapport,positive
1059,important,positive
1060,great,positive
1061,positive,positive
1063,excited,positive
1065,excited,positive
1065,enhance,positive
1067,fair,positive
1068,joy,positive
1069,good,positive
1069,posh,positive
1069,benefits,positive
1069,thoughtless,negative
1069,noise,negative
1071,awards,positive
1072,vice,negative
1075,providence,positive
1078,devil,negative
1079,autonomous,positive
1080,support,positive
1081,positive,positive
1081,break,negative
1082,crappy,negative
1084,supporting,positive
1084,epidemic,negative
1085,coercion,negative
1086,important,positive
1088,fail,negative
1089,educated,positive
1089,wasted,negative
1090,important,positive
1091,inspire,positive
1091,crazy,negative
1092,oppose,negative
1093,enough,positive
1094,enjoy,positive
1094,regret,negative
1096,premier,positive
1097,successful,positive
1097,dedicated,positive
1098,recommend,positive
1100,recommendations,positive
1101,powerful,positive
1101,crisis,negative
1104,free,positive
1107,hard,negative
1108,important,positive
1109,important,positive
1110,fuck,negative
1111,conveniently,positive
1112,inspiring,positive
1112,attack,negative
1113,important,positive
1114,fun,positive
1114,hated,negative
1115,important,positive
1116,fun,positive
1116,hated,negative
1117,honored,positive
1117,excited,positive
1117,commitment,positive
1118,stole,negative
1118,steal,negative
1121,great,positive
1124,decline,negative
1125,joke,negative
1126,won,positive
1126,issues,negative
1128,concerns,negative
1130,free,positive
1135,grand,positive
1135,missed,negative
1138,grand,positive
1139,important,positive
1144,concerns,negative
1146,concerns,negative
1147,important,positive
1148,like,positive
1150,like,positive
1151,sad,negative
1151,death,negative
1153,favour,positive
1153,thank,positive
1154,easy,positive
1154,condescending,negative
1155,free,positive
1160,support,positive
1160,well,positive
1161,improving,positive
1163,top,positive
1163,top,positive
1168,excited,positive
1169,groundbreaking,positive
1170,enough,positive
1171,grand,positive
1172,important,positive
1174,award,positive
1174,excellence,positive
1175,good,positive
1175,posh,positive
1175,benefits,positive
1175,thoughtless,negative
1175,noise,negative
1176,good,positive
1176,good,positive
1176,good,positive
1176,peace,positive
1176,love,positive
1177,happy,positive
1177,thank,positive
1177,enough,positive
1178,better,positive
1179,debt,negative
1179,problem,negative
1179,blame,negative
1180,work,positive
1180,support,positive
1180,hard,negative
1182,rape,negative
1184,death,negative
1184,failure,negative
1184,died,negative
1187,anxious,negative
1189,recommend,positive
1190,failed,negative
1191,important,positive
1192,enjoy,positive
1192,regret,negative
1194,support,positive
1194,improve,positive
1197,recommendations,positive
1198,like,positive
1198,congratulations,positive
1204,best,positive
1204,winner,positive
1207,trump,positive
1207,like,positive
1214,creative,positive
1214,missed,negative
1219,providence,positive
1219,talent,positive
1221,worked,positive
1221,plague,negative
1223,autonomous,positive
1224,liked,positive
1224,dead,negative
1225,like,positive
1225,bias,negative
1226,wins,positive
1226,award,positive
1226,best,positive
1227,positive,positive
1227,breaking,negative
1230,conveniently,positive
1231,failed,negative
1232,positive,positive
1234,best,positive
1234,winner,positive
1237,positive,positive
1240,better,positive
1241,sorry,negative
1241,death,negative
1241,vice,negative
1244,best,positive
1245,fair,positive
1246,goodness,positive
1250,important,positive
1251,important,positive
1252,important,positive
1254,fast,positive
1254,disadvantage,negative
1256,crisis,negative
1257,covenant,positive
1257,virus,negative
1258,important,positive
1260,safe,positive
1260,vice,negative
1261,positive,positive
1262,reform,positive
1262,radical,negative
1264,effective,positive
1269,works,positive
1272,gain,positive
1275,properly,positive
1275,properly,positive
1276,best,positive
1278,enjoy,positive
1279,congratulations,positive
1279,commitment,positive
1280,damage,negative
1281,comprehensive,positive
1281,available,positive
1282,emergency,negative
1284,work,positive
1285,works,positive
1286,crisis,negative
1289,lucky,positive
1289,privileged,positive
1290,covenant,positive
1290,virus,negative
1291,break,negative
1293,critical,negative
1295,educated,positive
1296,enough,positive
1297,thrilled,positive
1297,welcome,positive
1299,love,positive
1301,innovation,positive
1302,excited,positive
1302,commitment,positive
1303,vice,negative
1305,excited,positive
1305,thank,positive
1308,well,positive
1308,incredible,positive
1314,pretty,positive
1315,radically,negative
1316,thrilled,positive
1316,welcome,positive
1318,free,positive
