author,title,description,content
Karissa Bell,Facebook expands  community help  hub for people in quarantine,As Facebook sees  unprecedented  demand for its services  the company is now encouraging its users to help out their neighbors  The social network is expanding its  community help  feature to reach people affected by the coronavirus pandemic  With the update ,With the update  Facebook users can post offers to help with things like transportation  groceries  baby supplies and volunteer work  Likewise  those seeking assistance can post about what they need  or filter existing offers to find one that matches what the  507 chars 
Mariella Moon,DoorDash is temporarily cutting small restaurant fees in half,DoorDash is reducing commissions for local restaurant partners by 50 percent in an effort to help businesses survive the COVID 19 crisis  The food delivery service says the program will benefit over 150 000 restaurants in the US  Canada and Australia on both ,DoorDash is reducing commissions for local restaurant partners by 50 percent in an effort to help businesses survive the COVID 19 crisis  The food delivery service says the program will benefit over 150 000 restaurants in the US  Canada and Australia on both   787 chars 
Nick Summers,Yelp is adding a  contact free  delivery option to its apps,Yelp is doing its part to help small businesses affected by the coronavirus pandemic  The company has promised to update its iOS and Android apps next week with a  contact free  delivery option at checkout  thanks in part to its partnership with Grubhub  It s,In addition  Yelp is committing  25 million to help small restaurants and bars that are struggling financially due to the public s social distancing  The funding will come  primarily  in the form of free advertising  products and services  however  rather tha  1758 chars 
Steve Dent,Razer s Blade 15 packs an 8 core Intel CPU and RTX 2080 Super,Razer has unveiled the 2020 Blade 15 Advanced with more gaming and content creation power  along with one long overdue addition  To start with  the Advanced model is the first Razer Blade with an 8 core CPU  namely the 10th generation Intel Core i7 10875  Tha,The Blade 15 Advanced also comes with NVIDIA s latest RTX 2070 2080 Super GPUs with Max Q design  The new chips are not only faster than NVIDIA s last RTX flagships  the RTX 2080 and 2070  but feature NVIDIA s latest efficiency boosting Max Q tweaks like Adva  1515 chars 
Engadget,Facebook s latest app experiment is a  private space  for couples,If you have a special someone but dont live with them  youre probably feeling a bit stranded during the COVID 19 pandemic  However  Facebook might have a way to help you stay connected beyond the usual phone calls and video chats  Its experiment oriented NP,If you have a special someone but dont live with them  youre probably feeling a bit stranded during the COVID 19 pandemic  However  Facebook might have a way to help you stay connected beyond the usual phone calls and video chats  Its experiment oriented NP  520 chars 
Engadget,What we re listening to   Hunting Warhead  and Grimes,This month  commerce editor Valentina Palladino explains why you should listen a true crime podcast about the dark web  despite its subject matter  Contributing Editor Igor Bonifacic discusses the merits of the latest album from Grimes  Hunting Warhead Valent,Valentina PalladinoCommerce Editor Child abuse is an unspeakable crime  and yet it s rampant in the dark corners of the internet  Those who perpetrate and disseminate child abuse images rely on secrecy and anonymity to keep their operation going   but what   4890 chars 
Billy Steele,Spotify s standalone Kids app is now available in the US,When Spotify first launched its standalone app for kids last October  the possibilities were intriguing  It meant that parents could play music their kids like without having it impact their algorithmically generated playlists and recommendations on the servi,Spotify is clear that the app is still very much in the beta phase  It continues to focus on updating the software while keeping things safe and relevant for the younger audience  However  the goal is still to offer a separate app that not only looks more inv  5882 chars 
Engadget,The Morning After  Google s giving away two free months of Stadia Pro,While Zoom frantically tries to reassure users that its teleconferencing app can be safe and secure  Google is again reshuffling the deck chairs of its messaging strategy  The good news  for now  is that it has not launched a new service  yet  instead  as co,Disney  already has 50 million paying subscribers Thats a lot of people waiting for The Mandalorian season two Disneys streaming service has only been around for five months and despite a lack of hit original content  its already amassed an impressive  2715 chars 
Roxanne Khamsi,The History of Pandemics Teaches Us Only That We Can t Be Taught,Is there a lesson in this repeating failure  Would we even learn it if there was ,On the last day of March  in what felt like the longest month in human history  U S  President Donald Trump stood at the podium at the White House press briefing and mused on the lessons of this pandemic illness  When the threat of this new coronavirus fades   5629 chars 
Gregory Barber,Ventilator Makers Race to Prevent a Possible Shortage,Manufacturers are producing as many as they can to care for Covid 19 patients with breathing problems  Now the federal government is asking for even more ,Eric Gjerde  CEO of Airon Corporation  a small ventilator maker in Gainesville  Florida  has been getting far more business than hed like in recent weeks  An Italian company asked him for 2 000 machines  His distributor in California  working with state offic  6388 chars 
Will Knight,The Newest US Sanctions on China s Huawei Could Backfire,A reported ban on sales to Huawei of chips made with American equipment might intensify China s drive to develop its own chip industry ,Worsening relations between Washington and Beijing could trigger punishing new US restrictions on Huaweis supply of cutting edge microchips  But some experts believe this would only backfire by pushing China  and other countries  to develop more alternatives   3606 chars 
Alex Davies,To Cut Carbon  Ditch Air Traveland Get on the Right Track,Some environmentally conscious people are trying to give up flying  For some trips  there s a great  cleaner alternative  It s called a train ,It started with the California forest fires  Ariella Granett lives in Berkeley  and stapling a paper smoke mask to fit her 8 year old daughter s face made the planet s ills feel personal  Then  last spring  her son came home from school and announced the worl  5470 chars 
Matt Simon,The Political Promise of Carbon Taxes,Putting a price on emissions has become a bipartisan issue  Now we just need to do it the right way ,For decades  the idea of a carbon tax has been stuck in the waiting room of American politics  Familiar to everyone who comes and goes  it has sat there long enough to grow cobwebs from its ears  For the vast majority of Republicans  the idea is anathema  and  4615 chars 
Samanth Subramanian,The Cargo Industrys Quest to Curb Carbon Belching Ships,Container ships burn some of the dirtiest fuel there is and spew out huge amounts of greenhouse gas  But the business is poised for a dramatic shift ,Stefan eefting is  as he puts it  a long lasting guy in the shipping industry  He started as an apprentice engineer in a German shipyard in 1984  and now he s a senior vice president at MAN Energy Solutions  a firm whose engines power every second vessel on t  6182 chars 
Jay Peters,DoorDash will cut commissions by 50 percent for local restaurants through the end of May,DoorDash will be reducing commission fees by 50 percent for all of its local restaurant partners  the company has announced  The program will benefit more than 150 000 local restaurants in Australia  Canada  and the US ,The program starts Monday and will benefit restaurants in Australia  Canada  and the US Illustration by Alex Castro   The Verge DoorDash will be reducing commission fees by 50 percent for orders placed on DoorDash and DoorDash owned Caviar for all of its lo  2357 chars 
Jay Peters,Google launches a new Works with Chromebook badge for accessories,Google launches a new Works with Chromebook badge for accessories  which certifies that chargers  mice  keyboards  power adapters  and more will be compatible with Chromebooks  There are currently 13 companies that offer accessories as part of the program ,Chargers  mice  keyboards  power adapters  and more Image  Google Google has launched a new Works with Chromebook badge for accessories that are certified to be compatible with Chromebooks  via 9to5Google  The certification will be given to chargers  mice   1160 chars 
Andrew Webster,Riots shooter Valorant goes into beta on April 7th,League of Legends developer Riot Games has announced an April 7th release date for the closed beta of Valorant  an online shooter that combines elements of Overwatch and Counter Strike ,A first chance to play the intriguing game Fans will get an opportunity to play Riots Overwatch meets Counter Strike game Valorant very soon  today  the developer announced that a closed beta will be launching on April 7th  Its not clear just how big the bet  1386 chars 
Jon Porter,Amazons Alexa voice assistant can now help you diagnose COVID 19,Amazon Alexa users in the US can now use the voice assistant to help diagnose cases of COVID 19  the disease caused by the novel coronavirus  You can ask Alexa  what do I do if I think I have coronavirus  for advice ,Using information from US health authorities Illustration by Alex Castro   The Verge Amazon Alexa users in the US can now use the voice assistant as a first step towards diagnosing cases of COVID 19  the disease caused by the novel coronavirus  Amazon has a  1856 chars 
Darrell Etherington,Canada closes border to all foreign nationals except Americans  will block even citizens with symptoms,Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country  The most extreme is that Canada is closing its borders to non citizens and a,Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country  The most extreme is that Canada is closing its borders to non citizens and a  1880 chars 
Brian Heater,As social distancing measure  Starbucks temporarily shifts to to go model in US and Canada,Beginning today  Starbucks is instituting a temporary move to a to go model for all of its locations in the U S  and Canada  One of the more sweeping actions taken by a major food chain  the coffee giant is looking to adhere to advice about social distancin,Beginning today  Starbucks is instituting a temporary move to a to go model for all of its locations in the U S  and Canada  One of the more sweeping actions taken by a major food chain  the coffee giant is looking to adhere to advice about social distancing   1309 chars 
Darrell Etherington,U S  and Canada border to close to all but non essential and travel  says Trump,The U S Canada border has remained open despite measures by both countries to block and limit international flights and mobility in light of the coronavirus pandemic  but that is changing today as the two countries have agreed  by mutual consent  to suspen,The U S Canada border has remained open despite measures by both countries to block and limit international flights and mobility in light of the coronavirus pandemic  but that is changing today as the two countries have agreed  by mutual consent  to suspen  1426 chars 
Darrell Etherington,Uber suspends Uber Pool shared rides in the U S  and Canada to help limit coronavirus spread,Uber has suspended its shared Uber Pool class of rides  the company announced on Tuesday  The Uber Pool option would match up to three passengers together in one vehicle based on their destination  and Uber said in a statement from Uber Rides and Platform V,Uber has suspended its shared Uber Pool class of rides  the company announced on Tuesday  The Uber Pool option would match up to three passengers together in one vehicle based on their destination  and Uber said in a statement from Uber Rides and Platform V  1336 chars 
Frederic Lardinois,Emirates will suspend most passenger flights by March 25,Emirates  the worlds largest airline by international traffic  today briefly announced on Twitter and its own website that it would halt all passenger flights by March 25 but then reversed course and said that it would still fly to 13 destinations  including,Emirates  the worlds largest airline by international traffic  today briefly announced on Twitter and its own website that it would halt all passenger flights by March 25 but then reversed course and said that it would still fly to 13 destinations  including  1402 chars 
Kirsten Korosec,Ford wont restart North American plants March 30,Ford said Tuesday wont restart its factories in the U S  Canada and Mexico on Monday  March 30 as the automaker had originally planned  The company  which suspended production at its North American factories due to the continued spread of COVID 19  has deci,Ford said Tuesday wont restart its factories in the U S  Canada and Mexico on Monday  March 30 as the automaker had originally planned The company  which suspended production at its North American factories due to the continued spread of COVID 19  has dec  1020 chars 
Kirsten Korosec,Major automakers Toyota  Honda  FCA extend factory closures,Toyota  Honda and Fiat Chrysler Automobiles will not reopen North American factories at the end of the month as planned as the COVID 19 disease spreads and dampens demand for new cars  trucks and SUVs  FCA said Thursday that plants across the U S  and Canada ,Toyota  Honda and Fiat Chrysler Automobiles will not reopen North American factories at the end of the month as planned as the COVID 19 disease spreads and dampens demand for new cars  trucks and SUVs FCA said Thursday that plants across the U S  and Canada  2554 chars 
Megan Rose Dickey,DoorDash will offer financial assistance to delivery workers diagnosed with COVID 19 or quarantined,Food delivery startup DoorDash  which also runs operations for Caviar  has announced its plans to provide financial assistance to delivery workers who are diagnosed with COVID 19 or quarantined  DoorDash workers in the U S  Australia and Canada are eligible ,Food delivery startup DoorDash  which also runs operations for Caviar  has announced its plans to provide financial assistance to delivery workers who are diagnosed with COVID 19 or quarantined DoorDash workers in the U S  Australia and Canada are eligible  2641 chars 
Lucas Matney,Facebook ships an experimental app for couples,Today  Facebook quietly released a new app for couples called Tuned  The new release is a multimedia messaging app designed to help significant others communicate  The app is available for download in the U S  and Canada  app analytics firm Sensor Tower tells,Today  Facebook quietly released a new app for couples called Tuned  The new release is a multimedia messaging app designed to help significant others communicate The app is available for download in the U S  and Canada  app analytics firm Sensor Tower tell  1861 chars 
Kirsten Korosec,Honda to shut down North American factories for six days,Honda said Wednesday it will shutter all of its North American factories for six days due to an expected decline in the market related to the economic fallout from the spread of COVID 19  a disease caused by coronavirus  The stoppage will affect about 27 600 ,Honda said Wednesday it will shutter all of its North American factories for six days due to an expected decline in the market related to the economic fallout from the spread of COVID 19  a disease caused by coronavirus The stoppage will affect about 27 600  1218 chars 
Zack Whittaker,US State Department issues unprecedented do not travel warning over coronavirus,The U S  State Department has issued an unprecedented do not travel warning to U S  citizens  as the number of coronavirus related infections jumped sharply overnight  The advisory said U S  citizens should avoid all international travel due to the global ,The U S  State Department has issued an unprecedented do not travel warning to U S  citizens  as the number of coronavirus related infections jumped sharply overnight The advisory said U S  citizens should avoid all international travel due to the global  906 chars 
Anthony Ha,Facebook commits  100M to support local news orgs hit by COVID 19 crisis,Facebook announced this morning that it will be offering another  100 million worth of support to local newsrooms that are trying to cover the COVID 19 pandemic  while that same pandemic is dealing a major blow to their bottom lines  The company says the fund,Facebook announced this morning that it will be offering another  100 million worth of support to local newsrooms that are trying to cover the COVID 19 pandemic  while that same pandemic is dealing a major blow to their bottom lines The company says the fun  1242 chars 
Matt Burns,GM  Ford  FCA to close all factories  AP reports,Detroits big three automakers are to shut down all factories due to fears over the coronavirus  This comes by way of the Associated Press citing a person close the matter  GM  Ford  and FCA are expected to the plans later today  Over the last few days  the U,Detroits big three automakers are to shut down all factories due to fears over the coronavirus  This comes by way of the Associated Press citing a person close the matter  GM  Ford  and FCA are expected to the plans later today Over the last few days  the   708 chars 
Frederic Lardinois,Delta Air Lines will park at least half its fleet and close airport lounges,In a letter to employees  Delta Air Lines CEO Ed Bastian today announced that the company is parking at least half of its fleet as demand for flights during the current COVID 19 pandemic has plummeted both in the U S  and internationally  In total  Delta is c,In a letter to employees  Delta Air Lines CEO Ed Bastian today announced that the company is parking at least half of its fleet as demand for flights during the current COVID 19 pandemic has plummeted both in the U S  and internationally  In total  Delta is c  1713 chars 
Jonathan Shieber,Homebound parents rejoice  Disney is releasing Frozen 2 on its streamer on Sunday,Late Friday night  Disney said that it would be making Frozen 2 available this Sunday  March 15  The accelerated release date  a full three months ahead of its planned date  comes as all sorts of release schedules  premieres  and even entire new seasons of te,Late Friday night  Disney said that it would be making Frozen 2 available this Sunday  March 15 The accelerated release date  a full three months ahead of its planned date  comes as all sorts of release schedules  premieres  and even entire new seasons of t  1566 chars 
Anthony Ha,Netflix announces  100M relief fund after TV and film production halted,When it comes to the entertainment industry  the COVID 19 outbreak isnt just affecting movie theaters  its also halted TV and film production around the world  For Netflix  thats included production on high profile titles like The Witcher and Stranger ,When it comes to the entertainment industry  the COVID 19 outbreak isnt just affecting movie theaters its also halted TV and film production around the world  For Netflix  thats included production on high profile titles likeThe Witcher and Stranger Th  1365 chars 
Matt Burns,GM  Ford  and FCA shutter all North American factories over coronavirus fears,Detroits big three automakers are to shut down all factories due to fears over the coronavirus  Details are still in the works and will be announced shortly  Over the last few days  United Auto Workers has been pushing the automakers to shut down their facto,Detroits big three automakers are to shut down all factories due to fears over the coronavirus  Details are still in the works and will be announced shortly Over the last few days  United Auto Workers has been pushing the automakers to shut down their facto  1520 chars 
Lucas Matney,Peloton stock spikes as the at home fitness company finds potential customers stuck at home,As governments across the country weigh whether to push non essential public venues like gyms to close  more people are searching out expensive gear from Peloton  The public markets are obviously seeing some pretty substantial swings in recent days  but newly,As governments across the country weigh whether to push non essential public venues like gyms to close  more people are searching out expensive gear from Peloton  The public markets are obviously seeing some pretty substantial swings in recent days  but new  1386 chars 
Jonathan Shieber,YC graduate Genecis Bioindustries turns food waste into compostable plastics,Unfortunately  the world doesnt have a constant quantity of problems  and while governments and most private businesses are focused on tackling the ongoing COVID 19 pandemic  companies like Genecis Bioindustries are working on technologies to solve another m,Unfortunately  the world doesnt have a constant quantity of problems  and while governments and most private businesses are focused on tackling the ongoing COVID 19 pandemic  companies like Genecis Bioindustries are working on technologies to solve another m  4764 chars 
Sarah Perez,Rokus update adds support for Spanish voice commands  visual search results and more,Roku announced today its preparing to roll out the next version of its operating system  Roku OS 9 3  which powers its popular media players  TVs  and other devices  The flagship feature of this latest release is the introduction of Spanish Language Roku Voi,Roku announced today its preparing to roll out the next version of its operating system  Roku OS 9 3  which powers its popular media players  TVs  and other devices  The flagship feature of this latest release is the introduction of Spanish Language Roku Voi  3656 chars 
Kirsten Korosec,American Airlines cuts long haul international flights by 75 ,American Airlines said it will suspend 75  of its long haul international flights from the U S  beginning March 16 in response to decreased demand and government travel restrictions put in place to lessen the spread of COVID 19  American Airlines had already,American Airlines said it will suspend 75  of its long haul international flights from the U S  beginning March 16 in response to decreased demand and government travel restrictions put in place to lessen the spread of COVID 19 American Airlines had alread  1855 chars 
Zack Whittaker,Justice Dept  files its first coronavirus takedown  a bogus vaccine website,U S  federal prosecutors have filed and won a temporary restraining order against a website offering a fraudulent coronavirus vaccine  which the Justice Department said is its first enforcement action related to the pandemic  In a statement  the Justice Dept ,U S  federal prosecutors have filed and won a temporary restraining order against a website offering a fraudulent coronavirus vaccine  which the Justice Department said is its first enforcement action related to the pandemic In a statement  the Justice Dept  1956 chars 
Mike Butcher,Operation Covid 19 will allow self reporting of cases  to get ahead of official figures,The Canadian founder of a startup who caught Covid 19 from Justin Trudeaus wife has launched an initiative to allow anyone to self report their own case of the disease and publish the results  helping authorities to get ahead of the pandemic  Operation Covid,The Canadian founder of a startup who caught Covid 19 from Justin Trudeaus wife has launched an initiative to allow anyone to self report their own case of the disease and publish the results  helping authorities to get ahead of the pandemic Operation Covid  1862 chars 
Anthony Ha,Project Oasis is a Google backed research initiative to support local news startups,As part of its  300 million News Initiative  Google is teaming up with the UNC Hussman School of Journalism and Medias Center for Innovation and Sustainability in Local Media  local news association LION Publishers and consultant Douglas K  Smith to launch a,As part of its  300 million News Initiative  Google is teaming up with the UNC Hussman School of Journalism and Medias Center for Innovation and Sustainability in Local Media  local news association LION Publishers and consultant Douglas K  Smith to launch a   2078 chars 
Manish Singh,Indias MX Player expands to US  UK and other markets in international push,MX Player  the on demand video streaming service owned by Indias conglomerate Times Internet  is expanding to more than half a dozen new international markets including the U S  and the UK to supply more entertainment content to millions of people trapped in,MX Player  the on demand video streaming service owned by Indias conglomerate Times Internet  is expanding to more than half a dozen new international markets including the U S  and the UK to supply more entertainment content to millions of people trapped in   1985 chars 
Frederic Lardinois,Amazon is looking to hire 100 000 employees to keep up with demand,Amazon is looking to hire 100 000 new employees for its warehouse and delivery operations in the U S  to keep up with demand during the current coronavirus outbreak  the company said today  Workers in its U S  fulfillment centers will also get an extra  2 per,Amazon is looking to hire 100 000 new employees for its warehouse and delivery operations in the U S  to keep up with demand during the current coronavirus outbreak  the company said today Workers in its U S  fulfillment centers will also get an extra  2 pe  1874 chars 
Kirsten Korosec,Fox Sports to broadcast the full season of NASCARs virtual race series,Esports racing  helped by record setting viewership  is hitting the big time  Fox Sports said Tuesday it will broadcast the rest of the eNASCAR Pro Invitational iRacing Series  following Sundays virtual race that was watched by 903 000 viewers  according to ,Esports racing  helped by record setting viewership  is hitting the big time Fox Sports said Tuesday it will broadcast the rest of the eNASCAR Pro Invitational iRacing Series  following Sundays virtual race that was watched by 903 000 viewers  according to  2854 chars 
Sarah Perez,Over 30K creators joined Patreon this month  as COVID 19 outbreak spreads,Creative professionals whose livelihoods have been impacted by the COVID 19 outbreak are flocking to membership platform Patreon in record numbers  the company claims  During the first three weeks of March  more than 30 000 new creators launched on the site ,Creative professionals whose livelihoods have been impacted by the COVID 19 outbreak are flocking to membership platform Patreon in record numbers  the company claims  During the first three weeks of March  more than 30 000 new creators launched on the site   2739 chars 
Anthony Ha,Daily Crunch  Trump to propose  850B stimulus,President Trump is preparing a massive stimulus proposal  Amazon adjusts to COVID 19 and HashiCorp is now valued at more than  5 billion  Heres your Daily Crunch for March 17  2020  1  Trump administration proposes  850B stimulus package to stabilize the eco,President Trump is preparing a massive stimulus proposal  Amazon adjusts to COVID 19 and HashiCorp is now valued at more than  5 billion  Heres your Daily Crunch for March 17  2020 1  Trump administration proposes  850B stimulus package to stabilize the ec  3048 chars 
Ingrid Lunden,To slow coronavirus spread  EU countries and Russia join the list of countries officially closing their borders to all but essential travel,One of the defining characteristics of the European Union has been its strong policy of taking an open approach when it comes to borders in the region  the EU may be a collection of individual countries  but it works as one  and so when you travel from one to,One of the defining characteristics of the European Union has been its strong policy of taking an open approach when it comes to borders in the region  the EU may be a collection of individual countries  but it works as one  and so when you travel from one to  3134 chars 
Walter Thompson,Dear Sophie  How do we craft a strong H 1B petition  If Im not selected  what are my options ,Thank you for asking the questions that are on the minds of many H 1B first timers  Dont worry  Several options exist if youre not selected ,More posts by this contributor Heres another edition of Dear Sophie  the advice column that answers immigration related questions about working at technology companies Your questions are vital to the spread of knowledge that allows people all over the wor  8133 chars 
Brian Heater,How Uber  Lyft  Seamless and more are addressing taxed gig economy workers,The ongoing COVID 19 crisis is going to prove a major test of the gig economy  Already an ever increasingly important part of our daily lives  grocery and food delivery services along with ride hailing apps are going to play a fundamental role in helping indi,The ongoing COVID 19 crisis is going to prove a major test of the gig economy  Already an ever increasingly important part of our daily lives  grocery and food delivery services along with ride hailing apps are going to play a fundamental role in helping indi  3651 chars 
Ingrid Lunden,Glassbox raises  40M for tools to track and optimise web user experience,A lot of attention is focused on how some tech services are seeing a big boost in demand during the coronavirus pandemic  for example  streaming services and other online media  and anything to do with food delivery  are all seeing unprecedented levels of us,A lot of attention is focused on how some tech services are seeing a big boost in demand during the coronavirus pandemic  for example  streaming services and other online media  and anything to do with food delivery  are all seeing unprecedented levels of us  4942 chars 
Jake Bright,Damon Motorcycles makes acquisition  raises  3M and extends pre orders,EV startup Damon Motorcycles has acquired the IP of Mission Motors  raised  3 million in funding and announced a special production run of its debut model  The Vancouver based venture unveiled the 200 mph Hypersport in January and began taking pre orders for ,EV startup Damon Motorcycles has acquired the IP of Mission Motors  raised  3 million in funding and announced a special production run of its debut model The Vancouver based venture unveiled the 200 mph Hypersport in January and began taking pre orders for  5938 chars 
Natasha Lomas,Kry launches free service for doctors to do video consultations during COVID 19 crisis,Swedish telehealth startup Kry has launched a tool for healthcare professionals to conduct remote consultations during the coronavirus pandemic  Calls for EU citizens to self isolate to reduce the spread of COVID 19 is driving major demand for video appointme,Swedish telehealth startup Kry has launched a tool for healthcare professionals to conduct remote consultations during the coronavirus pandemic  Calls for EU citizens to self isolate to reduce the spread of COVID 19 is driving major demand for video appointme  6011 chars 
Danny Crichton,How Huawei is dividing Western nations,The relationship between the United Kingdom and Australia is not usually a flashpoint in international relations  After all  the two allies share a common language  ancestry  and monarch  So what caused a dustup recently that saw a senior Australian parliamen,The relationship between the United Kingdom and Australia is not usually a flashpoint in international relations  After all  the two allies share a common language  ancestry  and monarch  So what caused a dustup recently that saw a senior Australian parliamen  15649 chars 
Ed Cara,Chiropractors Told to Stop Pretending They Can Treat Covid 19,Chiropractors in Canada and elsewhere are being told to stop advertising their services as a treatment for covid 19  the illness caused by the new coronavirus  Read more ,Chiropractors in Canada and elsewhere are being told to stop advertising their services as a treatment for covid 19  the illness caused by the new coronavirus In Canada  organizations such as the College of Chiropractors of Ontario have sent dozens of warni  2158 chars 
Catie Keck,Uber Suspends Pool Service in U S  and Canada Amid Covid 19 Outbreak,As health officials call for social distancing amid the global coronavirus pandemic as a means of mitigating its spread  Uber has announced that its suspended all Pool services in the United States and Canada as of Tuesday  Read more ,As health officials call for social distancing amid the global coronavirus pandemic as a means of mitigating its spread  Uber has announced that its suspended all Pool services in the United States and Canada as of Tuesday The company said the decision was   1939 chars 
Matt Novak,Bill Barr Recently Met With Australian Official Who Just Tested Positive For Covid 19,Peter Dutton  Australias Home Affairs Minister  has tested positive for covid 19 after returning from the U S  according to a new statement published online  Dutton attended a high level security meeting in the U S  on Thursday  March 5  and there are photo,Peter Dutton  Australias Home Affairs Minister  has tested positive for covid 19 after returning from the U S  according to a new statement published online  Dutton attended a high level security meeting in the U S  on Thursday  March 5  and there are photos  3231 chars 
Alyse Stanley,Disney to Stream Frozen 2 Early Because the World s on Fire,The Mouse might have had a rocky start with its foray into the streaming world  but bringing Frozen 2 to Disney  early amid a national health emergency that has tons of people across the country cooped up inside is one hell of a power move  Read more ,The Mouse might have had a rocky start with its foray into the streaming world  but bringing Frozen 2to Disney  earlyamid a national health emergency that has tons of people across the country cooped up inside is one hell of a power move In a press release  1451 chars 
Sam Rutherford,Leaked Apple Product Listings Suggest Refreshed iPad Pros Are Coming Soon,The iPad Pro hasnt gotten a major update since October of 2018  which means theyre overdue for a refresh  And if a recent spate of product listings are any indication  theres a good chance that revamped iPad Pros could arrive quite soon  Read more ,The iPad Pro hasnt gotten a major update since October of 2018  which means theyre overdue for a refresh  And if a recent spate of product listings are any indication  theres a good chance that revamped iPad Pros could arrive quite soon   Just yesterday  mul  1767 chars 
